u_real,u_pred,MSE,Abs_Error
0.0,-0.19150561,0.03667439902259062,0.19150561094284058
0.0,-0.16512164,0.027265157560102615,0.1651216447353363
0.0,-0.1368879,0.018738295272076266,0.13688789308071136
0.0,-0.11678451,0.013638622475870221,0.11678451299667358
0.0,-0.11784192,0.013886718520962626,0.1178419217467308
0.0,-0.13421029,0.01801240154586381,0.13421028852462769
0.0,-0.14847438,0.022044641627429806,0.14847438037395477
0.0,-0.1541912,0.023774924913059436,0.15419119596481323
0.0,-0.15544078,0.024161835322304093,0.1554407775402069
0.0,-0.15633851,0.024441730614999102,0.15633851289749146
0.0,-0.15517709,0.024079928203094347,0.15517708659172058
0.0,-0.15488717,0.023990035306554525,0.15488716959953308
0.0,-0.15942857,0.025417467878185995,0.15942856669425964
